epoch;loss;val_loss
0;0.24763397872447968;2.727501153945923
1;0.1793115735054016;0.40417468547821045
0;0.28393784165382385;0.855084240436554
1;0.18690086901187897;0.2153754085302353
2;0.16753548383712769;0.24139930307865143
3;0.16296455264091492;0.5565904378890991
4;0.15770359337329865;0.43471622467041016
5;0.15956100821495056;0.1784241646528244
6;0.15366260707378387;0.2845943570137024
7;0.14898285269737244;0.20146331191062927
8;0.1472722738981247;0.267170250415802
9;0.14941617846488953;0.20265178382396698
10;0.1461566686630249;0.2647797763347626
11;0.1480090171098709;0.2016991823911667
12;0.15112975239753723;0.19731038808822632
13;0.14348502457141876;0.174390509724617
14;0.15367023646831512;0.19509559869766235
15;0.14836432039737701;0.16071298718452454
16;0.14874476194381714;0.1835339218378067
17;0.14739826321601868;0.17768171429634094
18;0.14401660859584808;0.16649718582630157
19;0.1391514092683792;0.17907172441482544
20;0.13789647817611694;0.251295804977417
21;0.13761986792087555;0.3981189727783203
22;0.1364838033914566;0.16791866719722748
23;0.13319095969200134;0.19601351022720337
24;0.1368534117937088;0.21949607133865356
25;0.13058555126190186;0.5572159290313721
26;0.13116355240345;0.15811100602149963
27;0.13431331515312195;0.17333322763442993
28;0.12546533346176147;0.1653091311454773
29;0.12428579479455948;0.19760839641094208
30;0.12380160391330719;0.1714569330215454
31;0.1205890104174614;0.17193058133125305
32;0.11939551681280136;0.17014457285404205
33;0.12373878806829453;0.14585624635219574
34;0.12336330115795135;0.16270393133163452
35;0.11721444129943848;0.14418375492095947
36;0.12476737052202225;0.24779203534126282
37;0.12123855948448181;0.31114304065704346
38;0.12206289172172546;0.14553265273571014
39;0.11852462589740753;0.19303560256958008
0;0.2515089511871338;3.7891483306884766
0;0.24924714863300323;1.6895796060562134
1;0.17871052026748657;0.42488399147987366
2;0.17925721406936646;0.47973623871803284
3;0.16900546848773956;0.4501302242279053
4;0.15872961282730103;0.3882347047328949
5;0.16214799880981445;0.6759599447250366
6;0.16710692644119263;0.5508697032928467
7;0.15837259590625763;0.29555854201316833
8;0.16598716378211975;0.23865742981433868
9;0.15486401319503784;0.9848755598068237
10;0.15449991822242737;0.6303901076316833
11;0.151369109749794;0.6507081389427185
12;0.1519077718257904;1.1666617393493652
13;0.14662900567054749;0.6365029215812683
14;0.14026238024234772;0.8428064584732056
15;0.14128753542900085;0.8249015212059021
16;0.1415325403213501;0.48516976833343506
17;0.14133043587207794;0.39275670051574707
18;0.14369535446166992;0.3137723207473755
0;0.24617356061935425;1.3725336790084839
1;0.17212164402008057;0.27879729866981506
2;0.17198005318641663;0.2556127905845642
3;0.17013800144195557;0.321747362613678
4;0.1725533902645111;0.2765294015407562
5;0.1706191599369049;0.27127793431282043
6;0.1662386953830719;0.24094241857528687
7;0.1610872894525528;0.24445785582065582
8;0.1644538938999176;0.266652375459671
9;0.1647987961769104;0.3814951777458191
